;query;query_ru
3359;"SELECT avg(T2.Points) FROM club AS T1 JOIN player AS T2 ON T1.Club_ID  =  T2.Club_ID WHERE T1.name  =  ""AIB""";"ВЫБРАТЬ СРЕДНЕЕ(T2.очки) ИЗ справочник.клубы КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.игроки КАК T2 ПО T1.ссылка = T2.клуб ГДЕ T1.наименование = ""AIB"""
3360;"SELECT avg(T2.Points) FROM club AS T1 JOIN player AS T2 ON T1.Club_ID  =  T2.Club_ID WHERE T1.name  =  ""AIB""";"ВЫБРАТЬ СРЕДНЕЕ(T2.очки) ИЗ справочник.клубы КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.игроки КАК T2 ПО T1.ссылка = T2.клуб ГДЕ T1.наименование = ""AIB"""
3361;SELECT POSITION ,  avg(Points) FROM player GROUP BY POSITION;ВЫБРАТЬ позиция , СРЕДНЕЕ(очки) ИЗ справочник.игроки СГРУППИРОВАТЬ ПО позиция
3362;SELECT POSITION ,  avg(Points) FROM player GROUP BY POSITION;ВЫБРАТЬ позиция , СРЕДНЕЕ(очки) ИЗ справочник.игроки СГРУППИРОВАТЬ ПО позиция
3363;SELECT POSITION FROM player GROUP BY name HAVING avg(Points)  >=  20;ВЫБРАТЬ позиция ИЗ справочник.игроки СГРУППИРОВАТЬ ПО наименование ИМЕЮЩИЕ СРЕДНЕЕ(очки) >= 20
3364;SELECT POSITION FROM player GROUP BY name HAVING avg(Points)  >=  20;ВЫБРАТЬ позиция ИЗ справочник.игроки СГРУППИРОВАТЬ ПО наименование ИМЕЮЩИЕ СРЕДНЕЕ(очки) >= 20
3365;SELECT Competition_type ,  COUNT(*) FROM competition GROUP BY Competition_type;ВЫБРАТЬ типсоревнования , КОЛИЧЕСТВО(*) ИЗ справочник.соревнования СГРУППИРОВАТЬ ПО типсоревнования
3366;SELECT Competition_type ,  COUNT(*) FROM competition GROUP BY Competition_type;ВЫБРАТЬ типсоревнования , КОЛИЧЕСТВО(*) ИЗ справочник.соревнования СГРУППИРОВАТЬ ПО типсоревнования
3367;SELECT Competition_type FROM competition GROUP BY Competition_type ORDER BY COUNT(*) DESC LIMIT 1;ВЫБРАТЬ ПЕРВЫЕ 1 типсоревнования ИЗ справочник.соревнования СГРУППИРОВАТЬ ПО типсоревнования УПОРЯДОЧИТЬ ПО КОЛИЧЕСТВО(*) УБЫВ
3368;SELECT Competition_type FROM competition GROUP BY Competition_type ORDER BY COUNT(*) DESC LIMIT 1;ВЫБРАТЬ ПЕРВЫЕ 1 типсоревнования ИЗ справочник.соревнования СГРУППИРОВАТЬ ПО типсоревнования УПОРЯДОЧИТЬ ПО КОЛИЧЕСТВО(*) УБЫВ
3369;SELECT Competition_type FROM competition GROUP BY Competition_type HAVING COUNT(*)  <=  5;ВЫБРАТЬ типсоревнования ИЗ справочник.соревнования СГРУППИРОВАТЬ ПО типсоревнования ИМЕЮЩИЕ КОЛИЧЕСТВО(*) <= 5
3370;SELECT Competition_type FROM competition GROUP BY Competition_type HAVING COUNT(*)  <=  5;ВЫБРАТЬ типсоревнования ИЗ справочник.соревнования СГРУППИРОВАТЬ ПО типсоревнования ИМЕЮЩИЕ КОЛИЧЕСТВО(*) <= 5
3371;SELECT name FROM CLub WHERE Club_ID NOT IN (SELECT Club_ID FROM player);ВЫБРАТЬ name ИЗ справочник.клубы ГДЕ Club_ID НЕ В (ВЫБРАТЬ Club_ID ИЗ справочник.игроки)
3372;SELECT name FROM CLub WHERE Club_ID NOT IN (SELECT Club_ID FROM player);ВЫБРАТЬ name ИЗ справочник.клубы ГДЕ Club_ID НЕ В (ВЫБРАТЬ Club_ID ИЗ справочник.игроки)
3375;SELECT sum(Points) FROM player;ВЫБРАТЬ СУММА(очки) ИЗ справочник.игроки
3376;SELECT sum(Points) FROM player;ВЫБРАТЬ СУММА(очки) ИЗ справочник.игроки
3377;SELECT count(DISTINCT POSITION) FROM player;ВЫБРАТЬ КОЛИЧЕСТВО(РАЗЛИЧНЫЕ позиция) ИЗ справочник.игроки
3378;SELECT count(DISTINCT POSITION) FROM player;ВЫБРАТЬ КОЛИЧЕСТВО(РАЗЛИЧНЫЕ позиция) ИЗ справочник.игроки
3379;SELECT name FROM player WHERE points  >  (SELECT avg(points) FROM player);ВЫБРАТЬ name ИЗ справочник.игроки ГДЕ points > (ВЫБРАТЬ СРЕДНЕЕ(points) ИЗ справочник.игроки)
3380;SELECT name FROM player WHERE points  >  (SELECT avg(points) FROM player);ВЫБРАТЬ name ИЗ справочник.игроки ГДЕ points > (ВЫБРАТЬ СРЕДНЕЕ(points) ИЗ справочник.игроки)
3381;SELECT count(*) ,  POSITION FROM player WHERE points  <  30 GROUP BY POSITION;ВЫБРАТЬ КОЛИЧЕСТВО(*) , позиция ИЗ справочник.игроки ГДЕ очки < 30 СГРУППИРОВАТЬ ПО позиция
3382;SELECT count(*) ,  POSITION FROM player WHERE points  <  30 GROUP BY POSITION;ВЫБРАТЬ КОЛИЧЕСТВО(*) , позиция ИЗ справочник.игроки ГДЕ очки < 30 СГРУППИРОВАТЬ ПО позиция
3383;SELECT country FROM competition WHERE competition_type  =  'Tournament' GROUP BY country ORDER BY count(*) DESC LIMIT 1;"ВЫБРАТЬ ПЕРВЫЕ 1 страна ИЗ справочник.соревнования ГДЕ типсоревнования = ""Tournament"" СГРУППИРОВАТЬ ПО страна УПОРЯДОЧИТЬ ПО КОЛИЧЕСТВО(*) УБЫВ"
3384;SELECT country FROM competition WHERE competition_type  =  'Tournament' GROUP BY country ORDER BY count(*) DESC LIMIT 1;"ВЫБРАТЬ ПЕРВЫЕ 1 страна ИЗ справочник.соревнования ГДЕ типсоревнования = ""Tournament"" СГРУППИРОВАТЬ ПО страна УПОРЯДОЧИТЬ ПО КОЛИЧЕСТВО(*) УБЫВ"
3389;SELECT sum(num_of_component) FROM furniture;ВЫБРАТЬ СУММА(количествокомпонентов) ИЗ справочник.мебель
3390;SELECT name ,  furniture_id FROM furniture ORDER BY market_rate DESC LIMIT 1;ВЫБРАТЬ ПЕРВЫЕ 1 наименование , ссылка ИЗ справочник.мебель УПОРЯДОЧИТЬ ПО рыночнаяцена УБЫВ
3391;SELECT sum(market_rate) FROM furniture ORDER BY market_rate DESC LIMIT 2;ВЫБРАТЬ ПЕРВЫЕ 2 СУММА(рыночнаяцена) ИЗ справочник.мебель УПОРЯДОЧИТЬ ПО рыночнаяцена УБЫВ
3392;SELECT Num_of_Component ,  name FROM furniture WHERE Num_of_Component  >  10;ВЫБРАТЬ количествокомпонентов , наименование ИЗ справочник.мебель ГДЕ количествокомпонентов > 10
3393;SELECT name ,  Num_of_Component FROM furniture ORDER BY market_rate LIMIT 1;ВЫБРАТЬ ПЕРВЫЕ 1 наименование , количествокомпонентов ИЗ справочник.мебель УПОРЯДОЧИТЬ ПО рыночнаяцена
3394;SELECT t1.name FROM furniture AS t1 JOIN furniture_manufacte AS t2 ON t1.Furniture_ID  =  t2.Furniture_ID WHERE t2.Price_in_Dollar  <  (SELECT max(Price_in_Dollar) FROM furniture_manufacte);ВЫБРАТЬ t1.наименование ИЗ справочник.мебель КАК t1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ регистрсведений.изготовлениемебели КАК t2 ПО t1.ссылка = t2.мебель ГДЕ t2.ценавдолларах < (ВЫБРАТЬ МАКСИМУМ(Price_in_Dollar) ИЗ регистрсведений.изготовлениемебели)
3395;SELECT open_year ,  name FROM manufacturer ORDER BY num_of_shops DESC LIMIT 1;ВЫБРАТЬ ПЕРВЫЕ 1 годоткрытия , наименование ИЗ справочник.производители УПОРЯДОЧИТЬ ПО количествомагазинов УБЫВ
3396;SELECT avg(Num_of_Factories) FROM manufacturer WHERE num_of_shops  >  20;ВЫБРАТЬ СРЕДНЕЕ(количествозаводов) ИЗ справочник.производители ГДЕ количествомагазинов > 20
3397;SELECT name ,  manufacturer_id FROM manufacturer ORDER BY open_year;ВЫБРАТЬ наименование , ссылка ИЗ справочник.производители УПОРЯДОЧИТЬ ПО годоткрытия
3398;SELECT name ,  open_year FROM manufacturer WHERE num_of_shops  >  10 OR Num_of_Factories  <  10;ВЫБРАТЬ наименование , годоткрытия ИЗ справочник.производители ГДЕ количествомагазинов > 10 ИЛИ количествозаводов < 10
3399;SELECT max(num_of_shops) ,  avg(Num_of_Factories) FROM manufacturer WHERE open_year  <  1990;ВЫБРАТЬ МАКСИМУМ(количествомагазинов) , СРЕДНЕЕ(количествозаводов) ИЗ справочник.производители ГДЕ годоткрытия < 1990
3400;SELECT t1.manufacturer_id ,  t1.num_of_shops FROM manufacturer AS t1 JOIN furniture_manufacte AS t2 ON t1.manufacturer_id  =  t2.manufacturer_id ORDER BY t2.Price_in_Dollar DESC LIMIT 1;ВЫБРАТЬ ПЕРВЫЕ 1 t1.ссылка , t1.количествомагазинов ИЗ справочник.производители КАК t1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ регистрсведений.изготовлениемебели КАК t2 ПО t1.ссылка = t2.производитель УПОРЯДОЧИТЬ ПО t2.ценавдолларах УБЫВ
3401;SELECT count(*) ,  t1.name FROM manufacturer AS t1 JOIN furniture_manufacte AS t2 ON t1.manufacturer_id  =  t2.manufacturer_id GROUP BY t1.manufacturer_id;ВЫБРАТЬ КОЛИЧЕСТВО(*) , t1.наименование ИЗ справочник.производители КАК t1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ регистрсведений.изготовлениемебели КАК t2 ПО t1.ссылка = t2.производитель СГРУППИРОВАТЬ ПО t1.ссылка
3402;SELECT t1.name ,  t2.price_in_dollar FROM furniture AS t1 JOIN furniture_manufacte AS t2 ON t1.Furniture_ID  =  t2.Furniture_ID;ВЫБРАТЬ t1.наименование , t2.ценавдолларах ИЗ справочник.мебель КАК t1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ регистрсведений.изготовлениемебели КАК t2 ПО t1.ссылка = t2.мебель
3403;SELECT Market_Rate ,  name FROM furniture WHERE Furniture_ID NOT IN (SELECT Furniture_ID FROM furniture_manufacte);ВЫБРАТЬ Market_Rate , name ИЗ справочник.мебель ГДЕ Furniture_ID НЕ В (ВЫБРАТЬ Furniture_ID ИЗ регистрсведений.изготовлениемебели)
3405;SELECT T1.first_name ,  T2.department_name FROM employees AS T1 JOIN departments AS T2 ON T1.department_id  =  T2.department_id;ВЫБРАТЬ T1.имя , T2.наименование ИЗ справочник.сотрудники КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.подразделения КАК T2 ПО T1.подразделение = T2.ссылка
3406;SELECT T1.first_name ,  T2.department_name FROM employees AS T1 JOIN departments AS T2 ON T1.department_id  =  T2.department_id;ВЫБРАТЬ T1.имя , T2.наименование ИЗ справочник.сотрудники КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.подразделения КАК T2 ПО T1.подразделение = T2.ссылка
3407;SELECT first_name ,  last_name ,  salary FROM employees WHERE salary  <  6000;ВЫБРАТЬ имя , фамилия , оклад ИЗ справочник.сотрудники ГДЕ оклад < 6000
3408;SELECT first_name ,  last_name ,  salary FROM employees WHERE salary  <  6000;ВЫБРАТЬ имя , фамилия , оклад ИЗ справочник.сотрудники ГДЕ оклад < 6000
3409;SELECT first_name ,  department_id FROM employees WHERE last_name  =  'McEwen';"ВЫБРАТЬ имя , подразделение ИЗ справочник.сотрудники ГДЕ фамилия = ""McEwen"""
3410;SELECT first_name ,  department_id FROM employees WHERE last_name  =  'McEwen';"ВЫБРАТЬ имя , подразделение ИЗ справочник.сотрудники ГДЕ фамилия = ""McEwen"""
3411;"SELECT * FROM employees WHERE department_id  =  ""null""";"ВЫБРАТЬ * ИЗ справочник.сотрудники ГДЕ подразделение = ""null"""
3412;"SELECT * FROM employees WHERE department_id  =  ""null""";"ВЫБРАТЬ * ИЗ справочник.сотрудники ГДЕ подразделение = ""null"""
3413;SELECT * FROM  departments WHERE department_name  =  'Marketing';"ВЫБРАТЬ * ИЗ справочник.подразделения ГДЕ наименование = ""Marketing"""
3414;SELECT * FROM  departments WHERE department_name  =  'Marketing';"ВЫБРАТЬ * ИЗ справочник.подразделения ГДЕ наименование = ""Marketing"""
3415;SELECT hire_date FROM employees WHERE first_name NOT LIKE '%M%';"ВЫБРАТЬ датанайма ИЗ справочник.сотрудники ГДЕ имя NOT ПОДОБНО ""%M%"""
3416;SELECT hire_date FROM employees WHERE first_name NOT LIKE '%M%';"ВЫБРАТЬ датанайма ИЗ справочник.сотрудники ГДЕ имя NOT ПОДОБНО ""%M%"""
3417;SELECT first_name ,  last_name ,  hire_date ,  salary ,  department_id FROM employees WHERE first_name NOT LIKE '%M%';"ВЫБРАТЬ имя , фамилия , датанайма , оклад , подразделение ИЗ справочник.сотрудники ГДЕ имя NOT ПОДОБНО ""%M%"""
3418;SELECT first_name ,  last_name ,  hire_date ,  salary ,  department_id FROM employees WHERE first_name NOT LIKE '%M%';"ВЫБРАТЬ имя , фамилия , датанайма , оклад , подразделение ИЗ справочник.сотрудники ГДЕ имя NOT ПОДОБНО ""%M%"""
3419;SELECT first_name ,  last_name ,  hire_date ,  salary ,  department_id FROM employees WHERE first_name NOT LIKE '%M%' ORDER BY department_id;"ВЫБРАТЬ имя , фамилия , датанайма , оклад , подразделение ИЗ справочник.сотрудники ГДЕ имя NOT ПОДОБНО ""%M%"" УПОРЯДОЧИТЬ ПО подразделение"
3420;SELECT first_name ,  last_name ,  hire_date ,  salary ,  department_id FROM employees WHERE first_name NOT LIKE '%M%' ORDER BY department_id;"ВЫБРАТЬ имя , фамилия , датанайма , оклад , подразделение ИЗ справочник.сотрудники ГДЕ имя NOT ПОДОБНО ""%M%"" УПОРЯДОЧИТЬ ПО подразделение"
3421;SELECT phone_number FROM employees WHERE salary BETWEEN 8000 AND 12000;ВЫБРАТЬ телефон ИЗ справочник.сотрудники ГДЕ оклад МЕЖДУ 8000 И 12000
3422;SELECT phone_number FROM employees WHERE salary BETWEEN 8000 AND 12000;ВЫБРАТЬ телефон ИЗ справочник.сотрудники ГДЕ оклад МЕЖДУ 8000 И 12000
3423;"SELECT * FROM employees WHERE salary BETWEEN 8000 AND 12000 AND commission_pct != ""null"" OR  department_id != 40";"ВЫБРАТЬ * ИЗ справочник.сотрудники ГДЕ оклад МЕЖДУ 8000 И 12000 И проценткомиссии <> ""null"" ИЛИ подразделение <> 40"
3424;"SELECT * FROM employees WHERE salary BETWEEN 8000 AND 12000 AND commission_pct != ""null"" OR  department_id != 40";"ВЫБРАТЬ * ИЗ справочник.сотрудники ГДЕ оклад МЕЖДУ 8000 И 12000 И проценткомиссии <> ""null"" ИЛИ подразделение <> 40"
3425;"SELECT first_name ,  last_name ,  salary FROM  employees WHERE commission_pct  =  ""null""";"ВЫБРАТЬ имя , фамилия , оклад ИЗ справочник.сотрудники ГДЕ проценткомиссии = ""null"""
3426;"SELECT first_name ,  last_name ,  salary FROM  employees WHERE commission_pct  =  ""null""";"ВЫБРАТЬ имя , фамилия , оклад ИЗ справочник.сотрудники ГДЕ проценткомиссии = ""null"""
3427;SELECT first_name ,  last_name ,  salary FROM employees WHERE first_name LIKE '%m';"ВЫБРАТЬ имя , фамилия , оклад ИЗ справочник.сотрудники ГДЕ имя ПОДОБНО ""%m"""
3428;SELECT first_name ,  last_name ,  salary FROM employees WHERE first_name LIKE '%m';"ВЫБРАТЬ имя , фамилия , оклад ИЗ справочник.сотрудники ГДЕ имя ПОДОБНО ""%m"""
3429;SELECT job_id ,  hire_date FROM employees WHERE hire_date BETWEEN '2007-11-05' AND '2009-07-05';"ВЫБРАТЬ должность , датанайма ИЗ справочник.сотрудники ГДЕ датанайма МЕЖДУ ""2007-11-05"" И ""2009-07-05"""
3430;SELECT job_id ,  hire_date FROM employees WHERE hire_date BETWEEN '2007-11-05' AND '2009-07-05';"ВЫБРАТЬ должность , датанайма ИЗ справочник.сотрудники ГДЕ датанайма МЕЖДУ ""2007-11-05"" И ""2009-07-05"""
3431;SELECT first_name ,  last_name FROM employees WHERE department_id  =  70 OR department_id  =  90;ВЫБРАТЬ имя , фамилия ИЗ справочник.сотрудники ГДЕ подразделение = 70 ИЛИ подразделение = 90
3432;SELECT first_name ,  last_name FROM employees WHERE department_id  =  70 OR department_id  =  90;ВЫБРАТЬ имя , фамилия ИЗ справочник.сотрудники ГДЕ подразделение = 70 ИЛИ подразделение = 90
3433;"SELECT salary ,  manager_id FROM employees WHERE manager_id != ""null""";"ВЫБРАТЬ оклад , руководитель ИЗ справочник.сотрудники ГДЕ руководитель <> ""null"""
3434;"SELECT salary ,  manager_id FROM employees WHERE manager_id != ""null""";"ВЫБРАТЬ оклад , руководитель ИЗ справочник.сотрудники ГДЕ руководитель <> ""null"""
3435;SELECT * FROM employees WHERE hire_date  <  '2002-06-21';"ВЫБРАТЬ * ИЗ справочник.сотрудники ГДЕ датанайма < ""2002-06-21"""
3436;SELECT * FROM employees WHERE hire_date  <  '2002-06-21';"ВЫБРАТЬ * ИЗ справочник.сотрудники ГДЕ датанайма < ""2002-06-21"""
3437;SELECT * FROM employees WHERE first_name LIKE '%D%' OR first_name LIKE '%S%' ORDER BY salary DESC;"ВЫБРАТЬ * ИЗ справочник.сотрудники ГДЕ имя ПОДОБНО ""%D%"" ИЛИ имя ПОДОБНО ""%S%"" УПОРЯДОЧИТЬ ПО оклад УБЫВ"
3438;SELECT * FROM employees WHERE first_name LIKE '%D%' OR first_name LIKE '%S%' ORDER BY salary DESC;"ВЫБРАТЬ * ИЗ справочник.сотрудники ГДЕ имя ПОДОБНО ""%D%"" ИЛИ имя ПОДОБНО ""%S%"" УПОРЯДОЧИТЬ ПО оклад УБЫВ"
3439;SELECT * FROM employees WHERE hire_date  >  '1987-09-07';"ВЫБРАТЬ * ИЗ справочник.сотрудники ГДЕ датанайма > ""1987-09-07"""
3440;SELECT * FROM employees WHERE hire_date  >  '1987-09-07';"ВЫБРАТЬ * ИЗ справочник.сотрудники ГДЕ датанайма > ""1987-09-07"""
3441;SELECT job_title FROM jobs WHERE min_salary  >  9000;ВЫБРАТЬ наименование ИЗ справочник.должности ГДЕ минимальнаязарплата > 9000
3442;SELECT job_title FROM jobs WHERE min_salary  >  9000;ВЫБРАТЬ наименование ИЗ справочник.должности ГДЕ минимальнаязарплата > 9000
3443;SELECT job_title ,  max_salary - min_salary FROM jobs WHERE max_salary BETWEEN 12000 AND 18000;ВЫБРАТЬ наименование , максимальнаязарплата - минимальнаязарплата ИЗ справочник.должности ГДЕ максимальнаязарплата МЕЖДУ 12000 И 18000
3444;SELECT job_title ,  max_salary - min_salary FROM jobs WHERE max_salary BETWEEN 12000 AND 18000;ВЫБРАТЬ наименование , максимальнаязарплата - минимальнаязарплата ИЗ справочник.должности ГДЕ максимальнаязарплата МЕЖДУ 12000 И 18000
3445;"SELECT email FROM employees WHERE commission_pct  =  ""null"" AND salary BETWEEN 7000 AND 12000 AND department_id = 50";"ВЫБРАТЬ электроннаяпочта ИЗ справочник.сотрудники ГДЕ проценткомиссии = ""null"" И оклад МЕЖДУ 7000 И 12000 И подразделение = 50"
3446;"SELECT email FROM employees WHERE commission_pct  =  ""null"" AND salary BETWEEN 7000 AND 12000 AND department_id = 50";"ВЫБРАТЬ электроннаяпочта ИЗ справочник.сотрудники ГДЕ проценткомиссии = ""null"" И оклад МЕЖДУ 7000 И 12000 И подразделение = 50"
3447;SELECT employee_id ,  MAX(end_date) FROM job_history GROUP BY employee_id;ВЫБРАТЬ сотрудник , MAX(датаокончания) ИЗ регистрсведений.историяработы СГРУППИРОВАТЬ ПО сотрудник
3448;SELECT employee_id ,  MAX(end_date) FROM job_history GROUP BY employee_id;ВЫБРАТЬ сотрудник , MAX(датаокончания) ИЗ регистрсведений.историяработы СГРУППИРОВАТЬ ПО сотрудник
3449;SELECT department_id FROM employees GROUP BY department_id HAVING COUNT(commission_pct) > 10;ВЫБРАТЬ подразделение ИЗ справочник.сотрудники СГРУППИРОВАТЬ ПО подразделение ИМЕЮЩИЕ КОЛИЧЕСТВО(проценткомиссии) > 10
3450;SELECT department_id FROM employees GROUP BY department_id HAVING COUNT(commission_pct) > 10;ВЫБРАТЬ подразделение ИЗ справочник.сотрудники СГРУППИРОВАТЬ ПО подразделение ИМЕЮЩИЕ КОЛИЧЕСТВО(проценткомиссии) > 10
3451;SELECT DISTINCT department_id FROM employees GROUP BY department_id ,  manager_id HAVING COUNT(employee_id)  >= 4;ВЫБРАТЬ РАЗЛИЧНЫЕ подразделение ИЗ справочник.сотрудники СГРУППИРОВАТЬ ПО подразделение , руководитель ИМЕЮЩИЕ КОЛИЧЕСТВО(ссылка) >= 4
3452;SELECT DISTINCT department_id FROM employees GROUP BY department_id ,  manager_id HAVING COUNT(employee_id)  >= 4;ВЫБРАТЬ РАЗЛИЧНЫЕ подразделение ИЗ справочник.сотрудники СГРУППИРОВАТЬ ПО подразделение , руководитель ИМЕЮЩИЕ КОЛИЧЕСТВО(ссылка) >= 4
3453;"SELECT department_id ,  AVG(salary) FROM employees WHERE commission_pct != ""null"" GROUP BY department_id";"ВЫБРАТЬ подразделение , AVG(оклад) ИЗ справочник.сотрудники ГДЕ проценткомиссии <> ""null"" СГРУППИРОВАТЬ ПО подразделение"
3454;"SELECT department_id ,  AVG(salary) FROM employees WHERE commission_pct != ""null"" GROUP BY department_id";"ВЫБРАТЬ подразделение , AVG(оклад) ИЗ справочник.сотрудники ГДЕ проценткомиссии <> ""null"" СГРУППИРОВАТЬ ПО подразделение"
3455;SELECT country_id ,  COUNT(*) FROM locations GROUP BY country_id;ВЫБРАТЬ странасправочник , КОЛИЧЕСТВО(*) ИЗ справочник.местоположения СГРУППИРОВАТЬ ПО странасправочник
3456;SELECT country_id ,  COUNT(*) FROM locations GROUP BY country_id;ВЫБРАТЬ странасправочник , КОЛИЧЕСТВО(*) ИЗ справочник.местоположения СГРУППИРОВАТЬ ПО странасправочник
3457;SELECT job_id FROM job_history WHERE end_date - start_date  > 300 GROUP BY job_id HAVING COUNT(*) >= 2;ВЫБРАТЬ должность ИЗ регистрсведений.историяработы ГДЕ датаокончания - датаначала > 300 СГРУППИРОВАТЬ ПО должность ИМЕЮЩИЕ КОЛИЧЕСТВО(*) >= 2
3458;SELECT job_id FROM job_history WHERE end_date - start_date  > 300 GROUP BY job_id HAVING COUNT(*) >= 2;ВЫБРАТЬ должность ИЗ регистрсведений.историяработы ГДЕ датаокончания - датаначала > 300 СГРУППИРОВАТЬ ПО должность ИМЕЮЩИЕ КОЛИЧЕСТВО(*) >= 2
3459;SELECT employee_id FROM job_history GROUP BY employee_id HAVING COUNT(*)  >= 2;ВЫБРАТЬ сотрудник ИЗ регистрсведений.историяработы СГРУППИРОВАТЬ ПО сотрудник ИМЕЮЩИЕ КОЛИЧЕСТВО(*) >= 2
3460;SELECT employee_id FROM job_history GROUP BY employee_id HAVING COUNT(*)  >= 2;ВЫБРАТЬ сотрудник ИЗ регистрсведений.историяработы СГРУППИРОВАТЬ ПО сотрудник ИМЕЮЩИЕ КОЛИЧЕСТВО(*) >= 2
3461;SELECT T1.employee_id ,  T4.country_name FROM employees AS T1 JOIN departments AS T2 ON T1.department_id  =  T2.department_id JOIN locations AS T3 ON T2.location_id  =  T3.location_id JOIN countries AS T4 ON T3.country_id  =  T4.country_id;ВЫБРАТЬ T1.ссылка , T4.наименование ИЗ справочник.сотрудники КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.подразделения КАК T2 ПО T1.подразделение = T2.ссылка ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.местоположения КАК T3 ПО T2.местоположение = T3.ссылка ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.страны КАК T4 ПО T3.странасправочник = T4.ссылка
3462;SELECT T1.employee_id ,  T4.country_name FROM employees AS T1 JOIN departments AS T2 ON T1.department_id  =  T2.department_id JOIN locations AS T3 ON T2.location_id  =  T3.location_id JOIN countries AS T4 ON T3.country_id  =  T4.country_id;ВЫБРАТЬ T1.ссылка , T4.наименование ИЗ справочник.сотрудники КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.подразделения КАК T2 ПО T1.подразделение = T2.ссылка ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.местоположения КАК T3 ПО T2.местоположение = T3.ссылка ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.страны КАК T4 ПО T3.странасправочник = T4.ссылка
3463;SELECT T2.department_name ,  COUNT(*) FROM employees AS T1 JOIN departments AS T2 ON T1.department_id  =  T2.department_id GROUP BY T2.department_name;ВЫБРАТЬ T2.наименование , КОЛИЧЕСТВО(*) ИЗ справочник.сотрудники КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.подразделения КАК T2 ПО T1.подразделение = T2.ссылка СГРУППИРОВАТЬ ПО T2.наименование
3464;SELECT T2.department_name ,  COUNT(*) FROM employees AS T1 JOIN departments AS T2 ON T1.department_id  =  T2.department_id GROUP BY T2.department_name;ВЫБРАТЬ T2.наименование , КОЛИЧЕСТВО(*) ИЗ справочник.сотрудники КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.подразделения КАК T2 ПО T1.подразделение = T2.ссылка СГРУППИРОВАТЬ ПО T2.наименование
3465;SELECT * FROM  job_history AS T1 JOIN employees AS T2 ON T1.employee_id  =  T2.employee_id WHERE T2.salary  >=  12000;ВЫБРАТЬ * ИЗ регистрсведений.историяработы КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.сотрудники КАК T2 ПО T1.сотрудник = T2.ссылка ГДЕ T2.оклад >= 12000
3466;SELECT * FROM  job_history AS T1 JOIN employees AS T2 ON T1.employee_id  =  T2.employee_id WHERE T2.salary  >=  12000;ВЫБРАТЬ * ИЗ регистрсведений.историяработы КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.сотрудники КАК T2 ПО T1.сотрудник = T2.ссылка ГДЕ T2.оклад >= 12000
3467;SELECT job_title ,  AVG(salary) FROM employees AS T1 JOIN jobs AS T2 ON T1.job_id  =  T2.job_id GROUP BY T2.job_title;ВЫБРАТЬ job_title , AVG(salary) ИЗ справочник.сотрудники КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.должности КАК T2 ПО T1.должность = T2.код СГРУППИРОВАТЬ ПО T2.наименование
3468;SELECT job_title ,  AVG(salary) FROM employees AS T1 JOIN jobs AS T2 ON T1.job_id  =  T2.job_id GROUP BY T2.job_title;ВЫБРАТЬ job_title , AVG(salary) ИЗ справочник.сотрудники КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.должности КАК T2 ПО T1.должность = T2.код СГРУППИРОВАТЬ ПО T2.наименование
3469;SELECT first_name ,  last_name FROM employees WHERE salary  >  (SELECT salary FROM employees WHERE employee_id = 163 );ВЫБРАТЬ имя , фамилия ИЗ справочник.сотрудники ГДЕ оклад > (ВЫБРАТЬ оклад ИЗ справочник.сотрудники ГДЕ ссылка = 163 )
3470;SELECT first_name ,  last_name FROM employees WHERE salary  >  (SELECT salary FROM employees WHERE employee_id = 163 );ВЫБРАТЬ имя , фамилия ИЗ справочник.сотрудники ГДЕ оклад > (ВЫБРАТЬ оклад ИЗ справочник.сотрудники ГДЕ ссылка = 163 )
3471;SELECT MIN(salary) ,  department_id FROM employees GROUP BY department_id;ВЫБРАТЬ MIN(оклад) , подразделение ИЗ справочник.сотрудники СГРУППИРОВАТЬ ПО подразделение
3472;SELECT MIN(salary) ,  department_id FROM employees GROUP BY department_id;ВЫБРАТЬ MIN(оклад) , подразделение ИЗ справочник.сотрудники СГРУППИРОВАТЬ ПО подразделение
